"","outd","NoInt:0.75","CI_HQ_SD:0.75","PC_CI_SD:0.75","PC_CI_HQ_SD:0.75","NoInt:0.5","CI_HQ_SD:0.5","PC_CI_SD:0.5","PC_CI_HQ_SD:0.5","NoInt:0.25","CI_HQ_SD:0.25","PC_CI_SD:0.25","PC_CI_HQ_SD:0.25"
"149",148,1463495,60905.7,20082.9,14240.1,1463495,60905.7,20082.9,14240.1,1463495,60905.7,20082.9,14240.1
"150",149,1582856.1,60042.8,19281,13511.1,1582856.1,60042.8,19281,13511.1,1582856.1,60042.8,19281,13511.1
"151",150,1711960.5,59587.4,18548.7,12835.9,1711960.5,59587.4,18548.7,12835.9,1711960.5,59587.4,18548.7,12835.9
"152",151,1850568,59588.4,17895.5,12198.6,1850568,59588.4,17895.5,12198.6,1850568,59588.4,17895.5,12198.6
"153",152,1998953.1,60105.1,17295.9,11577.2,1998953.1,60105.1,17295.9,11577.2,1998953.1,60105.1,17295.9,11577.2
"154",153,2154355.3,60928.3,16659.2,10987.8,2154355.3,60928.3,16659.2,10987.8,2154355.3,60928.3,16659.2,10987.8
"155",154,2314638.5,61993.3,16046.5,10448.6,2314638.5,61993.3,16046.5,10448.6,2314638.5,61993.3,16046.5,10448.6
"156",155,2477311.2,63292.2,15484.2,9897.8,2477311.2,63292.2,15484.2,9897.8,2477311.2,63292.2,15484.2,9897.8
"157",156,2640954.2,64705.7,14922.7,9399.1,2640954.2,64705.7,14922.7,9399.1,2640954.2,64705.7,14922.7,9399.1
"158",157,2802893.1,66359,14357.2,8921.7,2802893.1,66359,14357.2,8921.7,2802893.1,66359,14357.2,8921.7
"159",158,2961162,68094.8,13830,8493.9,2961162,68094.8,13830,8493.9,2961162,68094.8,13830,8493.9
"160",159,3113395.5,69974.9,13360.4,8068.2,3113395.5,69974.9,13360.4,8068.2,3113395.5,69974.9,13360.4,8068.2
"161",160,3256898.4,71981.1,12900.2,7662.3,3256898.4,71981.1,12900.2,7662.3,3256898.4,71981.1,12900.2,7662.3
"162",161,3389762.5,74111.5,12426.4,7278,3389762.5,74111.5,12426.4,7278,3389762.5,74111.5,12426.4,7278
"163",162,3508985.6,76291.3,11941.3,6925.4,3508985.6,76291.3,11941.3,6925.4,3508985.6,76291.3,11941.3,6925.4
"164",163,3613362.5,78626.2,11500.7,6582.5,3613362.5,78626.2,11500.7,6582.5,3613362.5,78626.2,11500.7,6582.5
"165",164,3701142.5,81025.7,11063,6248.7,3701142.5,81025.7,11063,6248.7,3701142.5,81025.7,11063,6248.7
"166",165,3770566.1,83411.2,10669,5955.3,3770566.1,83411.2,10669,5955.3,3770566.1,83411.2,10669,5955.3
"167",166,3820101.6,85892.2,10273.4,5686.4,3820101.6,85892.2,10273.4,5686.4,3820101.6,85892.2,10273.4,5686.4
"168",167,3849903.2,88527.2,9901.2,5424.7,3849903.2,88527.2,9901.2,5424.7,3849903.2,88527.2,9901.2,5424.7
"169",168,3859014.7,91212.3,9545.3,5156.8,3859014.7,91212.3,9545.3,5156.8,3859014.7,91212.3,9545.3,5156.8
"170",169,3847870,93846.8,9200.2,4911.5,3847870,93846.8,9200.2,4911.5,3847870,93846.8,9200.2,4911.5
"171",170,3816996.4,96617.3,8849,4684.1,3816996.4,96617.3,8849,4684.1,3816996.4,96617.3,8849,4684.1
"172",171,3767463.5,99365.7,8538.5,4467,3767463.5,99365.7,8538.5,4467,3767463.5,99365.7,8538.5,4467
"173",172,3700051.9,102252.2,8239.5,4262,3700051.9,102252.2,8239.5,4262,3700051.9,102252.2,8239.5,4262
"174",173,3615853.5,105127.8,7953.3,4054.2,3615853.5,105127.8,7953.3,4054.2,3615853.5,105127.8,7953.3,4054.2
"175",174,3516914.9,108094.2,7684.5,3875.1,3516914.9,108094.2,7684.5,3875.1,3516914.9,108094.2,7684.5,3875.1
"176",175,3405740.6,111162.4,7410.2,3698.1,3405740.6,111162.4,7410.2,3698.1,3405740.6,111162.4,7410.2,3698.1
"177",176,3283930.9,114324.6,7155,3524.2,3283930.9,114324.6,7155,3522.7,3283930.9,114324.6,7155,3522.7
"178",177,3153143.5,117274,6909.3,3353.9,3153143.5,117274,6909.3,3351.3,3153143.5,117274,6909.3,3351.3
"179",178,3015391.2,119953.6,6670.8,3195,3015391.2,119953.6,6670.8,3191.6,3015391.2,119953.6,6670.8,3191.6
"180",179,2871395.6,121969,6428.1,3057.4,2871395.6,121969,6428.1,3047.1,2871395.6,121969,6428.1,3047.1
"181",180,2722951.9,123117.9,6223.1,2918.6,2722951.9,123117.9,6223.1,2897.4,2722951.9,123117.9,6223.1,2897.4
"182",181,2571698.3,123586.6,6023.7,2797.3,2571698.3,123586.6,6023.7,2763,2571698.3,123586.6,6023.7,2763
"183",182,2420285.7,123010.3,5818,2682.4,2420285.7,123010.3,5818,2624.9,2420285.7,123010.3,5818,2624.9
"184",183,2269724.7,121550.9,5615.2,2618.6,2269724.7,121550.9,5615.2,2509.8,2269724.7,121550.9,5615.2,2509.8
"185",184,2121197.6,119305.2,5420.3,2561,2121197.6,119305.2,5420.3,2385.1,2121197.6,119305.2,5420.3,2385.1
"186",185,1975712.5,116506.9,5243,2533.6,1975712.5,116506.9,5243,2260,1975712.5,116506.9,5243,2260
"187",186,1834680,113210.1,5059.3,2540.8,1834680,113210.1,5059.3,2151.8,1834680,113210.1,5059.3,2151
"188",187,1698913.1,109793.3,4892.5,2580.6,1698913.1,109793.3,4892.5,2054.1,1698913.1,109793.3,4892.5,2053
"189",188,1569504.6,106338.9,4735.1,2652.3,1569504.6,106338.9,4735.1,1961.5,1569504.6,106338.9,4735.1,1955.8
"190",189,1447522.5,103418.5,4586.7,2761.3,1447522.5,103418.5,4586.7,1881.1,1447522.5,103418.5,4586.7,1866.1
"191",190,1333346.9,101188.5,4422.4,2916.2,1333346.9,101188.5,4422.4,1821.1,1333346.9,101188.5,4422.4,1787.1
"192",191,1227098.3,99513.5,4263,3090.1,1227098.3,99513.5,4263,1771.7,1227098.3,99513.5,4263,1706.2
"193",192,1128147.3,98762.2,4121.7,3293.5,1128147.3,98762.2,4121.7,1732.2,1128147.3,98762.2,4121.7,1626.4
"194",193,1036542.1,98722.8,3988.2,3522.9,1036542.1,98722.8,3988.2,1709.3,1036542.1,98722.8,3988.2,1549.9
"195",194,952065.4,99385.1,3849,3777.1,952065.4,99385.1,3849.6,1705.7,952065.4,99385.1,3849.6,1479.7
"196",195,874034.9,100519.7,3716.1,4072.3,874034.9,100519.7,3714.5,1718.6,874034.9,100519.7,3714.5,1416.3
"197",196,802170.1,102017.6,3609.9,4378.3,802170.1,102017.6,3592.5,1757.8,802170.1,102017.6,3592.5,1351.2
"198",197,735809.5,103732,3528.6,4728.5,735809.5,103732,3481.8,1821.8,735809.5,103732,3481.8,1290.9
"199",198,674298.4,105757.8,3452.1,5091.6,674298.4,105757.8,3364.9,1910.2,674298.4,105757.8,3364.9,1237.4
"200",199,617477.4,107993.1,3404.1,5497.5,617477.4,107993.1,3267.1,2004.2,617477.4,107993.1,3267.1,1183.4
"201",200,565150.3,110246,3383.6,5913.9,565150.3,110246,3164.3,2122.2,565150.3,110246,3164.3,1129.5
"202",201,516864.2,112795.3,3390.3,6391.4,516864.2,112795.3,3059.7,2252.4,516864.2,112795.3,3059.7,1082.4
"203",202,472483.2,115365,3444.7,6904.6,472483.2,115365,2955.3,2429.9,472483.2,115365,2955.3,1039.7
"204",203,431748.2,118185.9,3532.4,7441.6,431748.2,118185.9,2854.1,2612.5,431748.2,118185.9,2854.1,1000.1
"205",204,394339.3,120999.6,3675.6,8048.7,394339.3,120999.6,2773.8,2819,394339.3,120999.6,2773.8,970.4
"206",205,360038.3,123849.1,3869.9,8687.3,360038.3,123849.1,2698.5,3048.3,360038.3,123849.1,2698.5,940.6
"207",206,328662,126891.4,4102.6,9367.4,328662,126891.4,2614.7,3299.1,328662,126891.4,2614.7,916.3
"208",207,299907.7,129930,4384,10080.1,299907.7,129930,2529.7,3576.8,299907.7,129930,2529.7,895
"209",208,273595.2,132961.7,4716.6,10817.2,273595.2,132961.7,2446,3866.2,273595.2,132961.7,2444.8,881.9
"210",209,249641.3,136007,5105.3,11544.8,249641.3,136007,2361.7,4184.5,249641.3,136007,2358.2,877.8
"211",210,227654.2,139348.3,5550.2,12299.7,227654.2,139348.3,2296,4532.6,227654.2,139348.3,2282.6,883.5
